,Tytul,Opis,Cena
0,CS50's Introduction to Game Development,"Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as...",Free*
1,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,The Introduction to Nonprofit Accounting and Financial Statements webinars provide a great opportunity to learn the basic...,Free*
2,PredictionX: John Snow and the Cholera Epidemic of 1854,An in-depth look at the 1854 London cholera epidemic in Soho and its importance for the field of epidemiology.,Free*
3,Public Leadership Credential,"Developed by Harvard Kennedy School faculty, this professional credential program equips you with the skills necessary to advance...",995+
4,CS50: Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,Free*
5,Cognitive Fitness,This online course from Harvard Health Publishing brings you information from Harvard experts on staying mentally sharp as you...,30
6,6-Week Plan For Healthy Eating,"This online course from Harvard Health Publishing outlines a simple, 6-week plan assembled by Harvard experts to overhaul your...",30
7,Back Pain: Finding Solutions for Your Aching Back,"This Harvard Health Publishing online course provides insight into the sources of back pain, providing strategies on how to...",30
8,Controlling your Blood Pressure,This online course from Harvard Health Publishing gives you the tools to control your blood pressure and cut your risk of heart...,30
9,Starting to Exercise,"This Harvard Health Publishing online course propels you forward on your fitness journey, helping you create a personalized...",30
10,Improving your Memory,This online course from Harvard Health Publishing helps demystify the way your brain works and gives you strategies to...,30
11,CS50 for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law...",Free*
12,"PredictionX: Omens, Oracles & Prophecies","An overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",Free*
13,CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,Free*
14,Culinary Health Education Fundamentals (CHEF) Coaching—The Basics,This course offers proven strategies to counsel and motivate patients to improve their cooking habits for better health.,220
15,Systematic Approaches to Policy Design,This free online course from Harvard Kennedy School introduces approaches to analytical decision-making for policy design.,Free*
16,General Psychiatric Management for BPD,This 8-hour course offers training in an empirically validated treatment approach to borderline personality disorder (BPD) known...,25
17,Exercises for Bone Strength,Which exercises are best for better bones? This Harvard Medical School course will not just tell you; it will show you!,40
18,The Health Effects of Climate Change,"Learn how global warming impacts human health, and the ways we can diminish those impacts.",Free*
19,"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,Free*
20,Healthy Eating for Type 2 Diabetes,This easy-to-follow online course to help you better manage diabetes through a healthy diet combined with lifestyle choices like...,30
21,Quantitative Methods for Biology,"Learn introductory programming and data analysis in MATLAB, with applications to biology and medicine.",Free*
22,Computer Science for Lawyers,Gain a deep understanding of the legal ramifications of clients’ technological decisions and policies.,"1,900"
23,Resilient Leadership,"Develop the skills to lead with courage and conviction through challenging times with this free, 35-minute Harvard Business...",Free*
24,New Ideas for Nonprofit Leaders Webinar,Professor Arthur Brooks discusses cutting-edge concepts that tie tactics of the most effective nonprofit leaders back to the...,Free*
25,Harvard Kennedy School Executive Education,"With more than 35 open-enrollment programs led by Harvard faculty, Executive Education at HKS is an invaluable educational...",Free*
26,Negotiating Salary,"Learn salary negotiation techniques with this free, 15-minute Harvard Business School (HBS) Online lesson taught by Mike Wheeler...",Free*
27,4P Model for Strategic Leadership Podcasts,A Free Podcast Series,Free*
28,The Science of Corresponding with Busy People Webinar,This free webinar from HKS professor Todd Rogers is his take on the five principles for effective communication and how to...,Free*
29,Tangible Things,"Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts,...",Free*
30,Cancer Survivorship: Optimizing Care and Outcomes,Increase your awareness of comprehensive cancer survivorship care and specific areas where improved survivorship care can lead to...,275+
31,CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,Free*
32,CS50's Understanding Technology,This is CS50’s introduction to technology for students who don’t (yet!) consider themselves computer persons.,Free*
33,CS50's Introduction to Programming with Scratch,A gentle introduction to programming that prepares you for subsequent courses in coding.,Free*
34,Introduction to Digital Humanities,Develop skills in digital research and visualization techniques across subjects and fields within the humanities.,Free*
35,Walking for Health,"This Harvard Medical School online course is overflowing with practical tools you need to help build your stregnth, lose weight,...",30
36,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom...",Free*
37,Core Exercises,"This new Harvard Health Publishing online course will teach you the simple-to-do core exercises, while improving your mobility,...",30
38,The Caregiver's Guide,"This Harvard Medical School online course brings you the confidence and know-how to help you meet the unique physical,...",30
39,Lose Weight and Keep It Off,This Harvard Health Publishing online course incorporates the latest evidence-based strategies that allow you to tailor a healthy...,30
40,Positive Psychology,"This step-by-step, powerful Harvard Health Publishing online course reveals a variety of research-proven techniques and exactly...",30
41,Energy Within Environmental Constraints,A quantitative introduction to the energy system and its environmental impacts.,Free*
42,Knees and Hips,This Harvard Health Publishing interactive course will show you how to quell and conquer your knee and hip pain safely and...,30
